,id,max_quality,cost,capital,pur,price,period,lag_price,lag_qv,lag_pur,lag_capital,diff_price,diff_qv,diff_pur,diff_capital
0,0,2.0,26.0,1222.81,1,27.0,0,,,,,,,,
0,1,23.0,41.0,1244.7,0,42.0,0,,,,,,,,
0,2,3.0,81.0,1229.4,0,82.0,0,,,,,,,,
0,0,2.0,31.1,1144.81,0,32.1,1,27.0,2.0,1.0,1222.81,5.100000000000001,0.0,-1.0,-78.0
0,1,23.0,28.18,1131.9,1,29.18,1,42.0,23.0,0.0,1244.7,-12.82,0.0,1.0,-112.79999999999995
0,2,4.0,87.74,1103.32,0,88.74,1,82.0,3.0,0.0,1229.4,6.739999999999995,1.0,0.0,-126.08000000000015
