,id,max_quality,cost,capital,pur,price,period,lag_price,lag_qv,lag_pur,lag_capital,diff_price,diff_qv,diff_pur,diff_capital
0,0,23.0,45.0,1133.69,0,46.0,0,,,,,,,,
0,1,2.0,89.0,1153.58,0,90.0,0,,,,,,,,
0,2,30.0,35.0,742.81,1,36.0,0,,,,,,,,
0,0,27.0,52.63,1133.56,0,53.63,1,46.0,23.0,0.0,1133.69,7.630000000000003,4.0,0.0,-0.13000000000010914
0,1,2.0,86.69,1030.58,0,87.69,1,90.0,2.0,0.0,1153.58,-2.3100000000000023,0.0,0.0,-123.0
0,2,28.0,35.77,662.95,1,36.77,1,36.0,30.0,1.0,742.81,0.7700000000000031,-2.0,0.0,-79.8599999999999
