id,max_quality,cost,capital,pur,price,period,lag_price,lag_qv,lag_pur,lag_capital,diff_price,diff_qv,diff_pur,diff_capital
25,29.0,47.91,1619.97,257,48.91,1,26.0,25.0,0.0,1007.18,22.909999999999997,4.0,257.0,612.7900000000001
26,31.0,84.55,1162.23,1,85.55,1,14.0,21.0,54.0,1587.39,71.55,10.0,-53.0,-425.1600000000001
27,12.0,22.25,859.54,0,23.25,1,71.0,6.0,0.0,886.08,-47.75,6.0,0.0,-26.540000000000077
28,22.0,58.59,799.48,0,59.59,1,99.0,16.0,0.0,1100.56,-39.41,6.0,0.0,-301.0799999999999
29,14.0,102.0,294.8,0,103.0,1,7.0,15.0,247.0,1472.28,96.0,-1.0,-247.0,-1177.48
30,24.0,92.86,786.0,0,93.86,1,84.0,7.0,0.0,534.26,9.86,17.0,0.0,251.74
31,26.0,34.31,978.39,0,35.31,1,97.0,15.0,0.0,608.13,-61.69,11.0,0.0,370.26
32,16.0,36.42,709.81,0,37.42,1,51.0,12.0,0.0,1148.15,-13.579999999999998,4.0,0.0,-438.34000000000015
33,32.0,87.43,879.8900000000001,16,88.43,1,85.0,18.0,0.0,1047.05,3.430000000000007,14.0,16.0,-167.15999999999985
34,11.0,62.36,921.26,0,63.36,1,32.0,3.0,0.0,1178.47,31.36,8.0,0.0,-257.21000000000004
35,22.0,24.67,1095.59,0,25.67,1,63.0,18.0,0.0,975.24,-37.33,4.0,0.0,120.34999999999991
36,16.0,31.42,888.01,0,32.42,1,37.0,28.0,151.0,1298.93,-4.579999999999998,-12.0,-151.0,-410.9200000000001
37,20.0,52.52,1316.92,0,53.52,1,15.0,22.0,141.0,1424.31,38.52,-2.0,-141.0,-107.38999999999987
38,26.0,71.06,1264.09,0,72.06,1,25.0,16.0,0.0,789.0,47.06,10.0,0.0,475.0899999999999
39,24.0,46.81,1140.6,0,47.81,1,63.0,2.0,0.0,1111.74,-15.189999999999998,22.0,0.0,28.8599999999999
40,25.0,82.92,902.83,0,83.92,1,32.0,4.0,0.0,807.32,51.92,21.0,0.0,95.50999999999999
41,6.0,30.65,786.15,0,31.65,1,64.0,10.0,0.0,1195.94,-32.35,-4.0,0.0,-409.7900000000001
42,7.0,67.66,1025.99,0,68.66,1,86.0,26.0,0.0,916.83,-17.340000000000003,-19.0,0.0,109.15999999999997
43,21.0,47.38,807.65,0,48.38,1,16.0,9.0,0.0,1254.08,32.38,12.0,0.0,-446.42999999999995
44,26.0,66.21,1003.49,0,67.21,1,95.0,20.0,0.0,709.54,-27.790000000000006,6.0,0.0,293.95000000000005
45,22.0,24.74,723.05,0,25.74,1,80.0,20.0,0.0,1140.41,-54.260000000000005,2.0,0.0,-417.3600000000001
46,16.0,74.19,1240.34,0,75.19,1,18.0,26.0,905.0,1933.39,57.19,-10.0,-905.0,-693.0500000000002
47,24.0,82.1,777.31,0,83.1,1,32.0,3.0,0.0,1417.76,51.099999999999994,21.0,0.0,-640.45
48,1.0,58.43,1306.54,0,59.43,1,34.0,2.0,0.0,1108.22,25.43,-1.0,0.0,198.31999999999994
49,11.0,83.44,1066.68,0,84.44,1,86.0,7.0,0.0,792.29,-1.5600000000000023,4.0,0.0,274.3900000000001
